Feature,Importance
drop_lat,0.49654308
promised_eta,0.21502703
order_status,0.13268197
restaurant_customer_distance,0.06736563
month,0.015940625
rider_experience,0.009280222
vehicle_speed,0.009022994
lat,0.006949632
prep_capacity,0.0042066453
cuisine,0.00415537
lon,0.0034465427
order_size,0.003143018
restaurant_efficiency,0.0028955098
order_value,0.0027914348
shift_hours,0.0025687718
vehicle_type,0.0023826342
completed_orders,0.0023103838
avg_rating,0.0021211056
weekday,0.0020462675
manager_contact,0.001973525
day,0.0017813727
rider_restaurant_distance,0.0016521916
lat_rider,0.0016071103
hour,0.0015559805
rider_call_sign,0.0015356675
current_load,0.0011679135
lon_rider,0.0011645933
peak_hour,0.0011531184
drop_lon,0.0005643373
promo_code_used,0.00045268002
load_per_shift,0.0002316097
traffic,0.00018829918
estimated_travel_time,9.271884e-05
is_weekend,0.0
order_category,0.0
